id;name;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365;number_of_reviews_ltm
2355423;Sagrada Familia Deluxe Apartment - BCN54;2151490;Juan;Eixample;la Sagrada Família;4140229;217189;Entire home/apt;310;2;120;13/7/2024 19:00;96;6;346;24
2362929;City center - Ideal  families and business trips;12069461;Joaquim;Eixample;la Dreta de l'Eixample;4139905;216278;Entire home/apt;261;3;243;3/9/2024 19:00;193;1;304;35
2368976;Beautiful , Sunny &  Cozy near  Mediterranean Sea;12104361;Paola;Sant Martí;el Poblenou;41400589;2201649;Entire home/apt;170;4;358;17/8/2024 19:00;283;1;219;41
2369067;Quiet&terrace&wi-fi&doubleaircon;5197001;Javier;Sants-Montjuïc;Hostafrancs;4137592;214618;Entire home/apt;125;1;524;4/9/2024 19:00;416;2;113;98
2373057;Elegant and central apartment;12122822;Angeles;Eixample;la Nova Esquerra de l'Eixample;4138488;215479;Entire home/apt;110;1;391;1/9/2024 19:00;305;1;210;65
2376434;Casa unifamiliar con terrazas y patio;657642;Arrate;Sant Andreu;la Sagrera;4142391;21915;Entire home/apt;162;1;418;14/8/2024 19:00;331;1;239;48
2376967;Vila Olimpica Pool Suites;2320210;Ale, Maria & Arthur;Sant Martí;la Vila Olímpica del Poblenou;4139287;219411;Entire home/apt;334;1;94;18/7/2024 19:00;77;54;125;19
2377543;5 - Cerca Plaza España,  Aeropuerto, Sants, Ferias;12144860;Jack;Sants-Montjuïc;la Font de la Guatlla;4137281;214737;Entire home/apt;234;3;181;26/7/2024 19:00;143;1;345;22
2379004;The Best Barcelona;12152799;Núria;Eixample;la Sagrada Família;4140062;217294;Entire home/apt;170;3;18;28/7/2024 19:00;84;3;147;12
2382152;Apartamento La Mejor de Zona Barcelona 1;12152799;Núria;Sarrià-Sant Gervasi;Sant Gervasi - Galvany;4140177;214544;Entire home/apt;181;3;9;22/8/2024 19:00;7;3;147;4
2391858;"Apartment in ""El Putxet"", BCN";12079885;Blanca;Sarrià-Sant Gervasi;el Putxet i el Farró;414081;214303;Entire home/apt;90;3;177;25/8/2024 19:00;142;1;290;26
2394424;Chic studio in a perfect location in Barcelona;71615;Mireia  Maria;Eixample;l'Antiga Esquerra de l'Eixample;4138723;215631;Entire home/apt;185;1;126;7/8/2024 19:00;101;28;90;31
2396459;Apto. con 2 habitaciones y A/A (H);5843487;Rosario/Diana;Sarrià-Sant Gervasi;les Tres Torres;4139298;213129;Entire home/apt;176;1;103;20/8/2024 19:00;80;15;257;18
2401795;Atico, soleado con terraza, Sants.;3803356;Víctor;Sants-Montjuïc;Sants - Badal;4137391;213032;Private room;20;33;34;31/3/2024 19:00;27;2;5;2
2402365;Luxury apartment with private terrace;1432835;Angel;Eixample;la Dreta de l'Eixample;413894;21717;Entire home/apt;333;3;302;29/8/2024 19:00;249;45;87;46
2411106;Livingstone 2BR luxury apartment in Eixample;1435464;Jaume;Eixample;Sant Antoni;4138047;215914;Entire home/apt;220;1;133;19/8/2024 19:00;104;14;293;30
2412835;Sky High Penthouse with Terrace;3590196;DestinationBCN - Apartments & Rooms;Sarrià-Sant Gervasi;Sant Gervasi - Galvany;41395;214928;Entire home/apt;251;3;221;15/8/2024 19:00;188;12;102;43
2417803;Fantastica vista de la Sagrada Família;12343415;Armando;Eixample;la Sagrada Família;4140415;217249;Entire home/apt;175;5;234;3/8/2024 19:00;185;1;270;29
2424905;Loft-Penthouse next to Gran Teatro del Liceo;2509252;Montaber;Ciutat Vella;el Raval;4138035;217228;Entire home/apt;58;32;57;17/7/2024 19:00;45;9;281;3
2428246;Apartment Sagrada Familia;5563779;Oliver;Eixample;el Fort Pienc;4139708;217763;Entire home/apt;280;5;395;26/8/2024 19:00;313;1;316;37
2438814;Beatiful flat and parking optional!;7893470;Pilar;Eixample;la Sagrada Família;4140702;217977;Entire home/apt;152;3;466;7/8/2024 19:00;369;1;278;46
2439919;Penthouse with views in Barcelona center-WIFI;12472530;Anetta;Eixample;Sant Antoni;4137624;216353;Entire home/apt;189;2;625;2/9/2024 19:00;489;1;217;75
2451930;SUNNY TERRACE  Flat in Gracia/wifi;718762;Paz;Sarrià-Sant Gervasi;el Putxet i el Farró;4140561;214714;Entire home/apt;146;4;541;31/8/2024 19:00;427;1;172;73
2453031;CENTRIC APARTMENT with FREE WIFI;3678711;J;Gràcia;Vallcarca i els Penitents;41409;21481;Entire home/apt;544;1;24;21/11/2023 19:00;19;13;172;2
2456837;Urban Town Suites;2320210;Ale, Maria & Arthur;Sarrià-Sant Gervasi;Sant Gervasi - Galvany;4140417;21406;Entire home/apt;224;1;58;18/8/2024 19:00;53;54;119;18
2457914;Ramblas & Paseo de Gracia;2083075;Rentemporal Barcelona Sl;Eixample;la Dreta de l'Eixample;4139225;2162549;Entire home/apt;448;3;353;25/8/2024 19:00;279;3;253;42
2464488;Attic in Gracia: at home in BCN;14729996;Maria Silvia;Gràcia;la Vila de Gràcia;4140706;215446;Entire home/apt;108;4;310;26/8/2024 19:00;245;2;263;37
2464498;apartamento / mirador en zona alta;5582465;Iván;Sarrià-Sant Gervasi;el Putxet i el Farró;414056;214319;Entire home/apt;83;6;314;9/8/2024 19:00;247;1;36;29
2464761;Vintage Inspired;4855882;Attilio Y Maria;Eixample;l'Antiga Esquerra de l'Eixample;4138936;215902;Entire home/apt;350;3;451;22/8/2024 19:00;356;5;232;48
